ID,Name,Abbreviation,Location,URL
578,"Colorado Prep Hockey League","CPHL","Colorado","https://myhockeyrankings.com/league-info?l=578"
580,"Metropolitan Hockey League","Metro","Pacific Northwest","https://myhockeyrankings.com/league-info?l=580"
581,"New Brunswick Bantam AAA Hockey League","NBBAAA","New Brunswick","https://myhockeyrankings.com/league-info?l=581"
582,"Eastman Minor Hockey Association","Eastman","Southeastern Manitoba","https://myhockeyrankings.com/league-info?l=582"
583,"Pembina Valley Minor Hockey Association","PVMHA","Southern Manitoba","https://myhockeyrankings.com/league-info?l=583"
584,"Superior North Minor Hockey Association","SNMHA","Northwest Ontario","https://myhockeyrankings.com/league-info?l=584"
586,"Minnesota High Performance Tier 1 League","MNHP","Minnesota","https://myhockeyrankings.com/league-info?l=586"
587,"Interlake Minor Hockey","IMH","Interlake MB","https://myhockeyrankings.com/league-info?l=587"
588,"Northwest Hockey League","NWHL","Chicago Area","https://myhockeyrankings.com/league-info?l=588"
589,"Don Johnson Hockey League","DJHL","Newfoundland","https://myhockeyrankings.com/league-info?l=589"
590,"North Eastern Alberta Hockey League","NEAHL","North Eastern Alberta","https://myhockeyrankings.com/league-info?l=590"
593,"Midwest Prep Hockey League","MPHL","US & Canada","https://myhockeyrankings.com/league-info?l=593"
594,"Ligue de Hockey Regionale de l'Outaouais","LHRO","Southwest Quebec","https://myhockeyrankings.com/league-info?l=594"
595,"Hockey Mauricie","Mauricie","North Central Quebec","https://myhockeyrankings.com/league-info?l=595"
596,"Ligue de Hockey 3L","LH3L","Quebec","https://myhockeyrankings.com/league-info?l=596"
597,"Eastern Ontario Minor Hockey League","EOMHL","East Central Ontario","https://myhockeyrankings.com/league-info?l=597"
598,"Mid-Ontario Minor Hockey League","MOMHL","Central Ontario","https://myhockeyrankings.com/league-info?l=598"
599,"Niagara District Hockey League","NDHL","South Central Ontario","https://myhockeyrankings.com/league-info?l=599"
600,"Tri-County Minor Hockey League","TCMHL","Central Ontario","https://myhockeyrankings.com/league-info?l=600"
601,"York Simcoe Minor Hockey League","YSMHL","Central Ontario","https://myhockeyrankings.com/league-info?l=601"
602,"Reseau du Sport Etudiant du Quebec","RSEQ","Quebec","https://myhockeyrankings.com/league-info?l=602"
604,"Hockey Saguenay Lac Saint Jean","SLJ","North Central Quebec","https://myhockeyrankings.com/league-info?l=604"
605,"East Central Alberta Female Hockey League","ECAFHL","East Central Alberta","https://myhockeyrankings.com/league-info?l=605"
606,"Central Upper Peninsula Hockey League","CUP","Michigan UP","https://myhockeyrankings.com/league-info?l=606"
608,"Hockey Bas St Laurent","BSL","Eastern Quebec","https://myhockeyrankings.com/league-info?l=608"
609,"Hockey Montreal","MON","Montreal","https://myhockeyrankings.com/league-info?l=609"
611,"Ligue Hockey Quebec Chaudeiere Appalaches","LHQCA","Central Quebec","https://myhockeyrankings.com/league-info?l=611"
613,"Western Colorado Hockey League","WCHL","Western Colorado","https://myhockeyrankings.com/league-info?l=613"
614,"Beast Series","BEAST","New England","https://myhockeyrankings.com/league-info?l=614"
615,"Major Hockey League","MHL-SK","Eastern Saskatchewan","https://myhockeyrankings.com/league-info?l=615"
616,"Mainline Minor Hockey League","Mainline","South Saskatchewan","https://myhockeyrankings.com/league-info?l=616"
617,"South West Recreational Hockey League","SWRHL","Southwest Manitoba","https://myhockeyrankings.com/league-info?l=617"
618,"Saskatoon Minor Hockey Association","SMHA","Saskatchewan","https://myhockeyrankings.com/league-info?l=618"
619,"Parkissimo Hockey League","Parkissimo","Western Manitoba","https://myhockeyrankings.com/league-info?l=619"
620,"CIS Ontario Athletic Association","CISAA","Ontario","https://myhockeyrankings.com/league-info?l=620"
621,"Moose Mountain Hockey League","MMMHL","SE Saskatchewan","https://myhockeyrankings.com/league-info?l=621"
622,"Hi-Way 14 Hockey League","HW14","Western Saskatchewan","https://myhockeyrankings.com/league-info?l=622"
623,"South East Minor Hockey League","SEMHL","SE Saskatchewan","https://myhockeyrankings.com/league-info?l=623"
624,"Central Plains Minor Hockey Association","CPMHA","Central Manitoba","https://myhockeyrankings.com/league-info?l=624"
625,"Norman Regional Minor Hockey Association","Norman","Northern Manitoba","https://myhockeyrankings.com/league-info?l=625"
626,"Female Hockey Newfoundland & Labrador","FHNL","Newfoundland & Labrador","https://myhockeyrankings.com/league-info?l=626"
627,"North East Minor Hockey League","NEMHL","NE Saskatchewan","https://myhockeyrankings.com/league-info?l=627"
629,"Nova Scotia Female Hockey League","NSFHL","Nova Scotia","https://myhockeyrankings.com/league-info?l=629"
630,"Newfoundland AAA Hockey League","NLAAAHL","Newfoundland","https://myhockeyrankings.com/league-info?l=630"
631,"NorthEast Pack","NEPack","Northeast US","https://myhockeyrankings.com/league-info?l=631"
634,"National Girls Hockey League","NGHL","US Nationwide","https://myhockeyrankings.com/league-info?l=634"
635,"Empire Amateur Hockey Conference","EAHC","Western NY","https://myhockeyrankings.com/league-info?l=635"
636,"Snowbelt Hockey League","Snowbelt","Upstate NY","https://myhockeyrankings.com/league-info?l=636"
637,"Multiple Orgizational House League","MOHL","Western NY","https://myhockeyrankings.com/league-info?l=637"
638,"Lanark Carleton Minor Hockey League","LCMHL","Ottawa Area","https://myhockeyrankings.com/league-info?l=638"
639,"Gloucester Hockey Association","GHA","Ottawa Area","https://myhockeyrankings.com/league-info?l=639"
640,"Bytown Minor Hockey League","BMHL","Ottawa","https://myhockeyrankings.com/league-info?l=640"
641,"Nova Scotia U15 AAA Hockey League","NSU15MHL","Nova Scotia","https://myhockeyrankings.com/league-info?l=641"
642,"Adray Community Hockey League","Adray","Michigan","https://myhockeyrankings.com/league-info?l=642"
643,"North York Hockey League","NYHL","Toronto","https://myhockeyrankings.com/league-info?l=643"
644,"Alberta Elite Hockey League","AEHL","Alberta","https://myhockeyrankings.com/league-info?l=644"
647,"Michigan Amateur Hockey Association","MAHA","Michigan","https://myhockeyrankings.com/league-info?l=647"
648,"South Coast Hockey League","SCHL","RI and southern MA","https://myhockeyrankings.com/league-info?l=648"
649,"Western Girls Hockey League","WGHL","US Mountain West","https://myhockeyrankings.com/league-info?l=649"
650,"United Tier 1 Hockey League","UT1HL","New England","https://myhockeyrankings.com/league-info?l=650"
655,"Winnipeg AAA Hockey","WAAAH","Manitoba","https://myhockeyrankings.com/league-info?l=655"
656,"Utah Amateur Hockey League","UAHL","Utah","https://myhockeyrankings.com/league-info?l=656"
657,"Prep Hockey Conference","PHC","National","https://myhockeyrankings.com/league-info?l=657"
658,"Atlantic Hockey Federation","AHF","US Nationwide","https://myhockeyrankings.com/league-info?l=658"
659,"Rockies Hockey League","RHL","Western Alberta","https://myhockeyrankings.com/league-info?l=659"
696,"Pacific Girls Hockey League","PGHL","Western US","https://myhockeyrankings.com/league-info?l=696"
724,"Ontario Women's Hockey Association","OWHA","Ontario","https://myhockeyrankings.com/league-info?l=724"
727,"North Shore Youth Hockey League","NSYHL","Illinois","https://myhockeyrankings.com/league-info?l=727"
730,"Atlantic Girls Hockey Federation","AGHF","Mid-Atlantic","https://myhockeyrankings.com/league-info?l=730"
731,"Tier 1 Hockey Federation","THF","US Nationwide","https://myhockeyrankings.com/league-info?l=731"
732,"Metro Columbus Hockey League","MCHL","Columbus","https://myhockeyrankings.com/league-info?l=732"
768,"Power Prep Hockey League","PPHL","New England/Ontario","https://myhockeyrankings.com/league-info?l=768"
769,"Two Nations Prep Hockey League","TNPHL","US + Canada","https://myhockeyrankings.com/league-info?l=769"
770,"Capital Corridor Hockey League","CCHL","Washington DC Area","https://myhockeyrankings.com/league-info?l=770"
771,"Southeastern Showcase League","SESCL","Southeast","https://myhockeyrankings.com/league-info?l=771"
772,"Maritime Major Girls Hockey League","MMGHL","Atlantic Provinces","https://myhockeyrankings.com/league-info?l=772"
773,"Mountain Valley Hockey League","MVHL","New England","https://myhockeyrankings.com/league-info?l=773"
775,"Ligue Chaudiere Rive-Sud Etchemin","LCRSE","SE Quebec","https://myhockeyrankings.com/league-info?l=775"
